gene_id	diff	count_min
b5v5_00864	-10	668
b5v5_00178	9	668
b5v5_00278	81	490
b5v5_00649	-12	668
b5v5_00145	-16	391
b5v5_00155	-14	667
b5v5_00625	-9	667
b5v5_00171	-8	667
b5v5_00456	-2	666
b5v5_00670	-17	627
b5v5_01103	-14	665
b5v5_01245	-8	665
b5v5_00285	-12	665
b5v5_00222	-13	665
b5v5_00811	-12	664
b5v5_01035	-10	663
b5v5_00409	-12	663
b5v5_00109	69	663
b5v5_01370	-3	529
b5v5_02936	-15	663
b5v5_00431	-12	663
b5v5_00200	1	663
b5v5_01164	-10	663
b5v5_00453	41	663
b5v5_01774	-5	662
b5v5_00646	-12	662
b5v5_00346	-10	662
b5v5_01912	-19	662
b5v5_01015	-15	662
b5v5_00321	12	662
b5v5_03872	-13	662
b5v5_03900	-15	661
b5v5_00307	2	661
b5v5_00854	3	661
b5v5_00276	13	661
b5v5_00662	-4	661
b5v5_00230	-7	660
b5v5_00966	13.5	632
b5v5_01190	-10	660
b5v5_01445	-15	660
b5v5_00323	-11	660
b5v5_00451	-3	660
b5v5_00924	6	660
b5v5_00144	2	660
b5v5_00176	16	659
b5v5_00034	1	659
b5v5_00685	-12	659
b5v5_00305	-18	659
b5v5_00448	-13	537
b5v5_00149	-9	659
b5v5_00675	-11	658
b5v5_00738	-16	658
b5v5_00070	16	658
b5v5_00248	10	658
b5v5_00136	-16	658
b5v5_01225	-17	658
b5v5_00024	14	658
b5v5_00368	-13	658
b5v5_01760	-8	657
b5v5_00296	2	657
b5v5_00791	-16.5	657
b5v5_00452	-10	657
b5v5_01199	-7	657
b5v5_04412	-5	657
b5v5_00181	-13	657
b5v5_00424	-18	656
b5v5_00913	-15	656
b5v5_00443	-13	656
b5v5_00806	-10	656
b5v5_00435	-21	656
b5v5_00504	-14.5	655
b5v5_00071	-5	655
b5v5_00645	1	655
b5v5_00170	-10	655
b5v5_00199	-7	655
b5v5_02654	24	598
b5v5_00655	-14	654
b5v5_00138	-16	654
b5v5_00175	-10	654
b5v5_00447	-12	654
b5v5_00110	38	654
b5v5_00910	-6	654
b5v5_00218	-3	653
b5v5_00568	-14	317
b5v5_01480	-4	653
b5v5_00166	-9	653
b5v5_00224	-18	652
b5v5_00961	-5	652
b5v5_00281	-13	652
b5v5_01234	-12	652
b5v5_00637	6	651
b5v5_00123	-6.5	651
b5v5_00410	-10	651
b5v5_01691	-15	650
b5v5_01185	-13	650
b5v5_00709	-11	650
b5v5_00184	-12	650
b5v5_01248	-20	650
b5v5_00497	-5	650
b5v5_00168	-1	650
b5v5_02958	-13	650
b5v5_01025	-14	649
b5v5_01167	-2	649
b5v5_00595	-5	649
b5v5_02289	-10	649
b5v5_00582	-8	649
b5v5_01748	-10	649
b5v5_00398	13	457
b5v5_00495	-4	649
b5v5_00784	-6	649
b5v5_02619	-14	648
b5v5_00425	-12	648
b5v5_00650	-19	648
b5v5_00419	-14	648
b5v5_00718	21	648
b5v5_00949	-11	648
b5v5_00832	-15	648
b5v5_00908	-13	647
b5v5_02529	0	647
b5v5_00545	-10	647
b5v5_01005	6	647
b5v5_00259	-13	647
b5v5_01791	-6	647
b5v5_03971	-17	647
b5v5_00399	-11	647
b5v5_00552	1	646
b5v5_01317	-4	646
b5v5_01733	-14	646
b5v5_00318	-12	646
b5v5_01011	-7	646
b5v5_01665	-8	646
b5v5_00780	-17	645
b5v5_00683	18	645
b5v5_01041	-2	645
b5v5_00793	30	645
b5v5_00446	-15	645
b5v5_00289	-16	645
b5v5_00470	-12	645
b5v5_00115	-12	645
b5v5_01377	-8	645
b5v5_00622	-12	645
b5v5_01210	-5	645
b5v5_00543	12	645
b5v5_00816	-4	645
b5v5_01489	-5	645
b5v5_01643	-5	644
b5v5_00678	-11	644
b5v5_00876	-13	644
b5v5_00225	5	644
b5v5_00629	-15	644
b5v5_01059	-4	644
b5v5_03556	-16	478
b5v5_00317	-9	644
b5v5_00335	2	644
b5v5_01141	-5	644
b5v5_01417	3	644
b5v5_00310	-15	643
b5v5_00334	-12	643
b5v5_01009	-14	643
b5v5_00586	-7	499
b5v5_00520	-8	525
b5v5_00525	-12	643
b5v5_02439	-9	643
